player_name,events_played,wins,x_wins,x_wins_majors,rounds_played,shotlink_played,putt_raw,arg_raw,app_raw,ott_raw,t2g_raw,total_raw
"Landry, Andrew",10,0,0.02,0,26,17,0.223579277,-0.36978276,-1.207168939,-0.048264885,-1.625216584,-1.134744502
"Bjorn, Thomas",7,0,0,0,22,22,0.615324082,-0.103187685,-0.476211982,-0.382599644,-0.961999311,-0.358897213
"Jacquelin, Raphael",5,0,0,0,18,10,-0.164999445,0.333247061,0.336864425,-1.066316957,-0.39620547,-0.089384639
"Whitnell, Dale",13,0,0,0,32,32,0.182032002,-0.120442679,-0.212052042,0.065907143,-0.266587578,-0.040492263
"Lemke, Niklas",9,0,0,0,27,15,0.165696013,0.131148356,-0.333865851,-0.732922356,-0.935639851,0.190258304
"Drysdale, David",11,0,0,0,32,30,-0.354516103,-0.116449831,0.246046262,0.017551483,0.147147914,-0.176603493
"Werenski, Richy",19,0,0,0,49,36,0.266717523,-0.313583695,-0.595635679,-0.437462666,-1.346682039,-1.139659535
"Nimmer, Bryson",6,0,0,0,18,8,-0.735821529,-0.119459355,-0.283160027,-0.634308313,-1.036927694,-0.627917479
"Broberg, Kristoffer",7,0,0,0,21,21,-0.988540443,-0.463344507,0.586040603,0.406218478,0.528914574,-0.339221866
"Easton, Bryce",11,0,0,0,30,12,-0.545414122,-0.319921999,-0.410672361,-0.21338513,-0.943979491,0.706029858
"Donaldson, Jamie",10,0,0,0,28,28,0.297175356,-0.020043062,-0.27712431,-0.326495682,-0.623663055,-0.309521978
"Drewitt, Brett",21,0,0,0,59,24,-0.49609164,0.164676332,-0.418372817,-0.413197206,-0.666893691,-0.607610121
"Van Der Walt, Dawie",18,0,0,0,45,28,-0.206145286,-0.195863157,-0.232150664,-0.224316347,-0.652330168,-0.931813046
"Siem, Marcel",7,0,0,0,20,18,-0.160398604,-0.111023601,0.207092043,0.054769346,0.150837789,-0.243820291
"Lorenzo-Vera, Michael",7,0,0,0,20,16,-0.368689333,-0.086575209,-0.225391928,0.079174304,-0.232792832,-0.246999582
"Pepperell, Eddie",8,0,0,0,20,16,-0.379503103,-0.073679673,0.191569338,-0.343742602,-0.225852937,-0.201000101
"Dufner, Jason",15,0,0,0,35,21,-0.523971329,-0.07866398,-0.303063864,-0.07898296,-0.460710804,-0.79081841
"Gouveia, Ricardo",9,0,0,0,24,24,-0.069238232,-0.385597056,0.549282832,-0.529405548,-0.365719772,-0.479185624
"Valimaki, Sami",11,0,0,0,34,30,-0.154907298,-0.510358234,-0.075469104,-0.013003012,-0.598830349,-0.43956579
"McGowan, Ross",10,0,0,0,28,20,-0.027209481,0.133008027,-0.39733402,-0.257483491,-0.521809484,0.071746292
"Coupland, Dave",6,0,0,0,16,16,-0.664126758,-0.002681207,0.465923624,0.022553658,0.485796076,-0.313544487
"Baddeley, Aaron",11,0,0,0,35,13,0.241345839,0.495991956,-0.442478179,-1.20943451,-1.155920734,-0.75296231
"Antcliff, Maverick",12,0,0,0,36,34,-0.33168448,0.033871145,-0.038301019,-0.028407274,-0.032837148,-0.391594759
"Gainey, Tommy",13,0,0,0,32,9,-0.408495622,-0.242195381,-0.982432798,0.090364065,-1.134264114,-0.862505343
"Sullivan, Andy",10,0,0,0,28,28,0.25469439,0.054675926,-0.527563331,-0.32864328,-0.801530685,-0.51414205
"Sterne, Richard",11,0,0,0,34,30,-0.380924291,-0.325992841,-0.193021176,0.111282169,-0.407731848,-0.472330358
"Kjeldsen, Soren",7,0,0,0,24,20,-0.16909971,-0.144751384,-8.63481E-05,-0.557760439,-0.702598172,-0.742366057
"Chesters, Ashley",10,0,0,0,28,28,-0.477540903,0.110080105,0.142293903,-0.129496709,0.122877299,-0.403766469
"Brown, Steven",11,0,0,0,25,25,0.412995516,-0.479868214,-0.326559475,-0.226575572,-1.03300326,-0.482566154
"Fichardt, Darren",11,0,0,0,30,26,0.244141454,-0.209717997,-0.784170786,-0.40072652,-1.394615304,-0.621137558
"Leon, Hugo",10,0,0,0,26,26,-0.343616446,0.055860256,-0.32434635,0.111735601,-0.156750492,-0.496317832
"Points, D.A.",6,0,0,0,20,5,0.109580349,0.062196801,-0.19195824,-1.605798298,-1.735559738,-1.035785694
"Sjoholm, Joel",8,0,0,0,24,16,-0.847508644,-0.013958013,0.041268074,0.33793521,0.365245271,-0.339942283
"Huizing, Daan",11,0,0,0,29,29,0.369224689,-0.095854264,-0.246869656,-0.732535638,-1.075259558,-0.712205234
"Bjerregaard, Lucas",10,0,0,0,25,25,0.010140236,0.197820667,-0.231521995,-0.759846092,-0.793547421,-0.75815627
"Canizares, Alejandro",11,0,0,0,28,28,-0.299013357,-0.098782755,0.308539776,-0.669763601,-0.46000658,-0.730209225
"Creel, Joshua",18,0,0,0,44,23,0.08036028,-0.422281706,-0.717094597,-0.216223085,-1.355599388,-1.230818964
"Southgate, Matthew",9,0,0,0,26,22,-0.728292313,-0.585199985,0.143742118,0.144467157,-0.296990709,-0.955483073
"Roussel, Robin",9,0,0,0,24,24,-0.058849914,0.126041269,-0.191449739,-0.524566083,-0.589974553,-0.656281459
"Barnes, Ricky",5,0,0,0,13,3,0.376059456,0.675625412,-2.193195033,-0.0365428,-1.554112421,-0.977236799
"Singh Brar, Jack",11,0,0,0,28,24,0.272423584,-0.761470752,-0.509480061,-0.360287833,-1.631238646,-0.88108738
"Van Driel, Darius",11,0,0,0,30,30,-0.464324859,0.14284249,-0.300522146,-0.18213499,-0.339814645,-0.757397117
